form,smiles,MW,logP,HBD,HBA,QED,lipinski_pass
full,O=C(CNC(=O)C(CC1CCCCC1)NC(=O)Cc1ccc(O)cc1)NC1CCCC1,429.6,2.56,4,4,0.484,1
full,COc1ccc(F)c(NC(=O)CCNC(=O)c2ccc(-c3nc4c(o3)CCC[C@H]4OC)c(F)c2)c1,485.5,4.41,2,6,0.49,1
full,O=C(NCCn1c(=O)[nH]c2ccccc21)c1ccc(Br)cc1,360.2,2.52,2,2,0.751,1
full,N#C[C@@H]1C[C@@H](CSc2ccc(Cl)cc2)N(C(=O)C(NC(=O)c2cc3ccccc3o2)C2CCCCC2)C1,536.1,6.3,1,5,0.359,0
full,CCCC(=O)OCC(NC(C)=O)C(=O)Nc1ccc(-c2ccccc2)cc1,368.4,3.14,2,4,0.701,1
full,CC(C)C(NC(=O)C(CCc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)Oc1ccccc1)C(=O)NC1CC1,584.7,3.92,4,5,0.229,0
full,Cc1sccc1COC(=O)NCCCCNC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,493.6,4.22,3,5,0.329,1
full,CC(C)CC1NC(=O)OCc2ccccc2CO[C@@H]2CC[C@@H]2[C@@H]2CC[C@H](C2)NC(=O)C(CC(=O)CCC(=O)O)NC1=O,585.7,3.23,4,7,0.379,0
full,N#Cc1nc(OCC(F)(F)F)nc2cc(-c3cccs3)cc(OC(F)(F)F)c12,419.3,5.07,0,6,0.553,0
full,CO[C@H](Cc1ccccc1)C(NC(=O)OCc1ccccc1)C(=O)CNC(=O)C(Cc1ccccc1)NC(=O)/C=C/C(=O)O,601.7,2.59,4,7,0.182,0
full,CC(C)(C)OC(=O)N[C@H](COC(=O)N1CCOCC1)Cc1cccc(Cl)c1,398.9,3.24,1,5,0.823,1
full,Cc1ccc(COC(=O)NC(/C=C/COC(CC(C)C)C(=O)NCc2ccccc2)C(=O)N[C@H]2[C@H](Cl)C3C(=O)O[C@H]32)cc1,612.1,3.54,3,7,0.169,0
full,CC(C)(C#N)/C=C/c1cccc(C(=O)N[C@H]2CCCCC2C(=O)NCCC(F)(F)CNC(=O)c2ccccc2)c1,550.7,5.11,3,4,0.361,0
full,COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)C(=O)NC1(C#N)CC1,388.3,3.74,1,4,0.625,1
full,Nc1ccccc1[C@H]1COC(=O)NC1C(=O)O,236.2,0.55,3,4,0.651,1
full,CC(C)CC(NC(=O)C(NC(=O)CS(=O)(=O)c1ccccc1)C(C)C)C(=O)NCc1ccccc1,501.6,2.45,3,5,0.412,0
full,CC(C)S(=O)(=O)C[C@H](NC(=O)Nc1cc(Cl)cc(S(C)(=O)=O)c1)NC(=O)C1CC1,466.0,1.54,3,6,0.498,1
full,CC(=O)C(NC(=O)C1OC1=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)c1ccc(Br)cc1,572.5,2.32,3,7,0.145,0
full,CC(C)(C)C(NC(=O)c1ccccc1)C(=O)N[C@H]1CCCC[C@H]1OC(=O)N1CCOCC1,445.6,2.73,2,5,0.726,1
full,C#C[C@H](CC(C)C)NC(=O)C(CC(=O)OC(C)C)C(=O)NC(CCc1ccccc1)C(=O)O,458.6,2.31,3,5,0.237,1
full,CC(C)C(NC(=O)C(CSc1cccc(C(F)(F)F)c1)C(=O)N[C@H](C)c1ccccc1C(F)(F)F)C(=O)N1CC2CC(C1)N2,644.7,5.02,3,5,0.192,0
full,CN(C(=O)/C=C/C(=O)C(Cc1ccccc1)N[C@H](C#N)C1CCCCC1)c1ccc(Cl)cc1,464.0,5.1,1,4,0.525,0
full,CC(C)CC(NC(=O)C(C)NC(=O)OCc1ccccc1)C(=O)C#N,345.4,1.92,2,5,0.7,1
full,CC(C)CC(NC(=O)C(=O)NC(Cc1ccccc1)C(N)=O)C(=O)N[SH](C)(=O)CC(C)C,468.6,0.06,5,5,0.23,1
full,CCOC(=O)C(=CC(=O)O[C@H](NC(=O)c1c[nH]c2ccccc12)c1ccccc1)CC(C)C,448.5,4.68,2,5,0.282,1
full,NC(=O)C(CSCCC(=O)NCCc1cccs1)NC(=O)/C=C/c1cccc(C(F)(F)F)c1,499.6,3.23,3,5,0.308,1
full,CCC[C@@H](C#N)NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C,311.4,2.73,2,4,0.816,1
full,O=C(NCCc1ccc(CN2CCOCC2)cc1)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)OCc1ccccc1,648.8,4.44,3,6,0.165,0
full,COc1ccccc1NC(=O)CC(=O)OC[C@@H]1CC(C(=O)NC2(C#N)CC2)N(C(=O)c2ccccc2)C1C(=O)N1CCCC1,601.7,2.26,2,8,0.31,0
full,CC(C)[C@@H](NC(=O)C(CCCN=C(N)N)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O)c1ccccc1,639.8,3.42,7,5,0.052,0
full,Cc1ccc(COC(=O)NC(C(=O)NC(CCc2ccccc2)C(=O)O)C(C)C)cc1,426.5,3.45,3,4,0.54,1
full,C=CCN(Cc1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)N[C@H]1C[C@H]2O[C@H]1CC(=O)N[C@H]2C#N,571.7,2.87,3,6,0.318,0
full,COc1ccc(/C=C/S(=O)(=O)C(CC(C)(C)C)NC(=O)OCc2ccccc2)cc1,431.6,4.77,1,5,0.651,1
full,N#CCCC(NC(=O)C(=O)NC(=O)C(N)Cc1ccccc1)NC(=O)c1ccc(-c2ccccc2)cc1,497.6,2.04,4,6,0.262,1
full,CC(C)C(=O)NC(CCc1ccccc1)C(=O)NCC#CC(=O)OCc1ccccc1,420.5,2.62,2,4,0.371,1
full,N#Cc1ccc(-c2ccc3c(c2)OCCO3)cc1,237.3,3.0,0,3,0.765,1
full,CC(C)C(NC(=O)OC(Cc1ccccc1)C(=O)OCc1ccccc1)C(=O)NC1(C#N)CC1,463.5,3.26,2,6,0.522,1
full,CSCC[C@H](NC(=O)C1COc2ccccc2O1)[C@H](CC(C)C)OC(=O)NC(Cc1ccccc1)C(=O)O,544.7,3.9,3,7,0.347,0
full,CC(C)[C@@H]1c2ccccc2CN1C(=O)CCNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)Cc1ccccc1,554.7,3.32,3,4,0.319,0
full,N#CCN(C(=O)C(Cc1cccc(-c2ccccc2)c1)NC(=O)c1ccccc1)c1cccc(Cl)c1Cl,528.4,6.56,1,3,0.263,0
full,COc1ccc(S(=O)(=O)N2C[C@@H](CCC(C)C)[C@@H](NC(=O)c3cccc(Cl)c3F)C[C@H]2CC(=O)NC2CC2)cc1,594.1,4.77,2,5,0.39,0
full,Cc1csc(-c2ccc([C@@H](C#N)N=C(/C=C/S(=O)(=O)c3ccccc3)[C@H](O)C(F)(F)F)cc2)n1,505.5,5.04,1,7,0.454,0
full,CC(C)COC(=O)NC(CC(C)C)C(=O)N(CC#N)Cc1ccccc1,359.5,3.34,1,4,0.686,1
full,COC1(C(=O)N[C@@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1,368.4,2.78,2,4,0.703,1
full,CC(C)C(C#N)N[C@@H](C)/C=C/S(=O)(=O)C(=O)c1ccc2ccccc2c1,370.5,3.43,1,5,0.842,1
full,N#CCNC(=O)C(CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)c1ccc(-c2ccccc2)cc1,523.7,5.34,3,4,0.233,0
full,N#CCNC(=O)C(NC(=O)c1ccc(C(F)(F)F)cc1)C1CCC1,339.3,2.24,2,3,0.807,1
full,CC(C)(C)C(NC(=O)C(=O)N(C#N)Cc1cccc(C(F)(F)F)c1)C(=O)Nc1ccccc1,460.5,3.68,2,4,0.404,1
full,CSCCC(NC(=O)OC(Cc1ccccc1)C(=O)c1ccsc1)C(=O)NCC#N,445.6,3.03,2,7,0.407,1
full,CC(C)C[C@@H](CSC(C)C)NC(=O)C(NC(=O)OCCc1ccccc1)C(=O)N[C@H](C)Cc1ccccc1,541.8,4.74,3,5,0.283,0
full,CC[C@@H](C#N)NC(=O)C(CC(C)C)NC(=O)c1ccc(O)cc1,317.4,1.96,3,4,0.715,1
full,CC(C)OC(=O)NC(Cc1cccc(Br)c1)C(=O)NCC#N,368.2,2.13,2,4,0.753,1
full,CC(C)C(CCC#N)NC(=O)c1ccc(C2CC2)cc1,270.4,3.62,1,2,0.858,1
full,CC(C)Oc1cccc2c(Nc3nc(OCC(F)(F)F)ccc3C#N)c3c(nc12)CCC3,442.4,5.46,1,6,0.546,0
full,Cn1nc(C(=O)NC(C=O)Cc2ccc(C(F)(F)F)cc2)c2cc(C(F)(F)F)ccc21,443.3,4.15,1,3,0.476,1
full,N#CC1([C@@H](NC(=O)OCCc2ccc(Cl)cc2)NC(=O)OCc2c[nH]c3ccccc23)CCCC1,495.0,5.43,3,5,0.361,0
full,CC(C)C(C(=O)O)C(=O)NC(CC(C)(C)C)C(=O)NCC#N,311.4,0.9,3,4,0.477,1
full,NCCCCC(NC(=O)C(Cc1ccccc1)NC(=O)NC(Cc1ccccc1)C(=O)OCc1ccccc1)OC(=O)c1ccccc1,650.8,4.68,4,7,0.074,0
full,CCC(CC(NC(=O)OC(C)(C)C)C(=O)NCC#N)NC(=O)C(NC(=O)OCc1ccccc1)c1ccccc1,551.6,3.47,4,7,0.294,0
full,CCCCCC(NC(=O)C1CCc2ccccc21)C(=O)NC1(C#N)Cc2ccccc21,415.5,3.87,2,3,0.642,1
full,CC(C)CC(NC(=O)CNC(=O)OCc1ccccc1)C(=O)N1CCOCC1,391.5,1.3,2,5,0.696,1
full,N#CC1(NC(=O)C(CCc2ccccc2C(F)(F)F)Nc2ccc(-c3ccccc3)cc2)CC1,463.5,5.96,2,3,0.433,0
full,CC(=O)NC(CC(C)C)C(=O)NC(=O)CCc1cccc(CN2C(=O)c3ccc(Br)cc3C2=O)c1,542.4,3.37,2,5,0.472,0
full,N#C[C@H](COC(=O)N1CCCCC1)NC(=O)CCCS(=O)(=O)c1ccc2c(c1)OCO2,451.5,1.6,1,8,0.63,1
full,CC(C)CC(NC(=O)Oc1ccccc1)C(=O)C(C)NC(=O)OCc1ccccc1,412.5,4.07,2,5,0.647,1
full,CS(=O)(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)CS(=O)(=O)c1cccc(-c2ccc([N+](=O)[O-])cc2)c1,542.6,3.71,1,7,0.288,0
full,CC(N)C(N[C@@H](C)c1ccc(-c2ccccc2)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,444.6,2.93,4,4,0.385,1
full,CC(C)C(NC(=O)COCCCc1ccccc1)C(=O)NC(C(=O)O)c1ccccc1,426.5,2.72,3,4,0.453,1
full,CC(C)C(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)N(C)C,513.7,4.04,2,3,0.384,0
full,C[C@H](Cc1ccccc1)NC(=O)C(F)[C@H](CC(=O)c1cccs1)NC(=O)C1CCCN1C(=O)C(N)CCCc1ccccc1,620.8,4.23,3,6,0.22,0
full,O=C(Nc1cccc(C#CC2CCc3cc(Cl)ccc3O2)c1)c1ccccc1,387.9,5.34,1,2,0.603,0
full,CC(C)(C)OC(=O)NC1C(=O)C(Cc2ccccc2)C(=O)N(C#N)C[C@H](F)[C@H]1CC(F)(F)c1cccc(C(F)(F)F)c1,597.6,5.79,1,5,0.258,0
full,O=C(NC(Cc1ccccc1)C(=O)CN1CCOCC1)Oc1ccc(Cl)cc1,402.9,2.94,1,5,0.771,1
full,CC(C)C(C#N)NC(=O)C(CCc1ccccc1)N[C@H](C)Cc1ccccc1Cl,412.0,4.53,2,3,0.603,1
full,CC(C)CC(C(=O)OCc1ccccc1)N1[C@@H]2CC[C@H]1CS(=O)(=O)C2,365.5,2.41,0,5,0.725,1
full,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC(=O)N1)C(=O)NCc1ccc2ccccc2c1,542.7,3.38,4,4,0.297,0
full,N#C[C@H](C=C[C@H](F)CS(=O)(=O)c1ccccc1)NC(=O)C1CCCCN1C(=O)OC1CC2(CC2)c2cccc(Cl)c21,600.1,5.18,1,6,0.418,0
full,CCOC(=O)COC[C@H](Cc1ccccc1)NC(=O)C(Cc1ccccc1)C(=O)NC1(C#N)CC1,477.6,2.32,2,6,0.338,1
full,CC(C)CC(NC=O)C(=O)NC(CC1CCCCC1)C(=O)Nc1ccc(CN)cc1,416.6,2.7,4,4,0.415,1
full,C[C@@H](C#N)Oc1ccc(NC[C@H](CC2CCCCC2)NC(=O)c2ccccc2F)cc1,423.5,5.3,2,4,0.574,0
full,CC(C)(COC(=O)c1ccccc1)NCC#N,232.3,1.74,1,4,0.62,1
full,CC[C@H](C)C(NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC#N)Cc1ccccc1,520.7,4.29,3,5,0.386,0
full,COc1ccc(NC(Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(C#N)C(=O)N[C@H]2CCOC2)cc1,492.6,3.29,3,6,0.419,1
full,CC[C@@H](C#N)NC(=O)C(=O)C(Cc1ccccc1)NCC(=O)OCCc1ccccc1,421.5,1.96,2,6,0.401,1
full,CCC(NC(=O)C(CCC1CCCCC1)NC(=O)C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,522.6,4.21,2,6,0.319,0
full,C[C@H](NC(=O)C(NC1CCCCC1)C(F)(F)c1ccccc1)c1ccc(-c2cccc(C#N)c2)cc1,487.6,6.49,2,3,0.382,0
full,C[C@H](NC(C(=O)NCC(=O)O)C(Cc1ccc(O)cc1)C(=O)NNC(=O)c1ccccc1)C1CCCC1,510.6,1.75,6,6,0.251,0
full,C[C@@H](O)CC(NC(=O)C(=O)Nc1cc(C(F)(F)F)ccc1S(=O)(=O)c1ccc(OC2CC2)cc1)c1ccccc1,576.6,4.65,3,6,0.319,0
full,N#C[C@@H](CNC(=O)C(CC(=O)S(=O)(=O)c1cccc(-c2ccccc2)c1)NC(=O)Cc1ccsc1)c1ccccc1,585.7,4.26,2,7,0.27,0
full,Cc1csc2nc(-c3cscc3NC(=O)Cc3cnn(C)c3)nc(N)c12,384.5,3.23,2,7,0.563,1
full,CC(C)CCC(NC(Cc1ccccc1)C(=O)N[C@@H](c1cccc(Cl)c1)C(F)(F)F)C(=O)CC#N,508.0,5.55,2,4,0.395,0
full,CC(C)CC(NC(=O)CN(C#N)c1ccc(-c2ccccc2)cc1)C(=O)NC(C(F)(F)F)C(F)(F)F,514.5,4.78,2,4,0.287,0
full,COc1ccc2c(c1)[C@@H]1c3ccccc3CCCc3cc(c(F)cc3-2)CN1C(=O)C(NC(Cc1cccc(CN2CCOCC2)c1)C(=O)O)C(F)(F)F,731.8,6.47,2,6,0.191,0
full,CN(C#N)NC(=O)C1CC(Cc2ccccc2)C1,243.3,1.7,1,3,0.497,1
full,CC(=O)OCc1ccccc1C(=O)N[C@H]1CC=CC[C@H]1NC(=O)C(=O)NC(CCc1ccccc1)C(=O)NCc1ccccc1,610.7,3.12,4,6,0.141,0
full,N#CCc1ccc(-c2ccc(C(=O)NCCCc3cccs3)o2)cc1,350.4,4.44,1,4,0.641,1
full,COc1cc2ncc(C3CCCCC3)n(C)c-2n1,245.3,2.98,0,3,0.816,1
full,CC(C)CC(NC(CC(=O)OC(C)(C)C)C(=O)O)C(=O)N[C@@H]1CCCN1C(=O)OC(C)C,457.6,2.26,3,7,0.425,1
full,Cc1ccc(CCCCNc2ncc3cc[nH]c3n2)cc1,280.4,3.7,2,3,0.677,1
full,C[C@@H]1CCCN1C(=O)CC#N,152.2,0.91,0,2,0.56,1
full,CC(C)[C@@H](C#N)NC(=O)C(NC(=O)CN1Cc2ccccc2CS1(=O)=O)NC(=O)c1cc2ccccc2o1,537.6,1.61,3,7,0.368,0
full,CC(C)CC(NC(=O)c1cnc2ccccc2c1C=O)C(=O)Nc1cc(F)c(F)cc1F,443.4,4.25,2,4,0.422,1
full,FC(F)(F)Nc1nc(N2CCCCC2)nc(N2C[C@@H]3CCC[C@H]3C2)n1,356.4,3.03,1,6,0.84,1
full,CCCCc1cc(C(=O)N[C@H](C#N)C(C)C)ccc1-c1ccc(S(C)(=O)=O)cc1,412.6,4.38,1,4,0.697,1
full,COc1cc(CCNC(=O)C(CC(C)C)NC(=O)OC2(C#N)CC2)cc(-c2ccccc2)c1,449.6,4.22,2,5,0.566,1
full,CCc1ccc(OCC(F)(F)F)c(C(=O)N[C@@H](CC)C(C(=O)NCC#N)C2CC2)c1,425.5,3.36,2,4,0.563,1
full,O=C(C=CCCC(Cc1ccccc1)=NC(=O)OCc1ccccc1)NC(Cc1ccccc1)C(=O)O,498.6,5.16,2,4,0.265,0
full,N#C[C@H](COCc1ccccc1)NC(=O)C(CC1CCCCC1)C(=O)Cc1ccccc1,432.6,4.61,1,4,0.526,1
full,CCOC(=O)C1[C@H]2CC[C@H]2CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C,382.5,2.73,1,5,0.756,1
full,Cc1cn(CCNC(=O)C(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)N[C@@H]2CCCc3ccccc32)nn1,578.7,3.48,3,5,0.223,0
full,CCC(NC(=O)OC[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)NCC(C)(C)C,483.6,4.19,3,5,0.444,1
full,CCCCOC(=O)NC(Cc1ccccc1)C(=O)C1(C#N)CC1,314.4,3.0,1,4,0.748,1
full,O=CC(NC(=O)C(Cc1cc(F)cc(F)c1)NC(=O)c1ccccc1OC1CCC1)c1ccccc1,492.5,4.29,2,4,0.414,1
full,N#CC1(NC(=O)C(CCc2ccccc2)N[C@@H](CCc2ccccc2)C(F)(F)F)CC1,429.5,4.31,2,3,0.591,1
full,N#CCO[C@@H]1Cc2ccccc2N(C(=O)c2ccc(Cl)cc2-c2ccccc2)[C@H]1NC(=O)Nc1cccc(Cl)c1,571.5,6.92,2,4,0.263,0
full,CC(N[C@@H](Cc1ccccc1)C(F)(F)F)C(=O)NC(CC(C)N(C)C#N)C(=O)NCCc1ccccc1,517.6,3.17,3,5,0.28,0
full,CCCCC(NC(=O)CF)C(=O)NCCc1ccc(Br)cc1,373.3,2.75,2,2,0.7,1
full,CC(=O)N1CCCC1C(=O)N[C@@H](Cc1ccccc1)Cc1ccc(-c2ccccc2)cc1,426.6,4.63,1,2,0.599,1
full,N#C[C@@H](CCc1ccccc1)NC(=O)C(NC(=O)OCc1ccccc1)c1ccc(N2CCOCC2)cc1,512.6,4.13,2,6,0.423,0
full,COCC(NC(=O)C(CC(C)C)NC(=O)C(CC1CCCCC1)NC(=O)OC(C)(C)C)C(C)C=O,497.7,3.35,3,6,0.335,1
full,CCCCOC(=O)C(=CS(=O)(=O)c1ccc(C#N)cc1)CC(C)C,349.5,3.61,0,5,0.407,1
full,Cc1csc(C(C#N)NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccccc2)n1,440.6,2.72,2,6,0.559,1
full,N#CN1CCC(Oc2ccc(F)c(F)c2F)CC1,256.2,2.43,0,3,0.602,1
full,CC(C)(C)C(=O)C(Cc1ccccc1)NC(=O)C1CCCCN1C(=O)C(CCCC(=O)O)NS(=O)(=O)Cc1ccccc1,613.8,3.45,3,6,0.295,0
full,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)OCCCN1CCCCC1)C(=O)C[C@@H](C)NC(=O)C(C#N)Cc1ccccc1,645.8,4.58,3,7,0.202,0
full,N#C[C@@]1(c2ccccc2)C[C@@H]1NC(=O)c1ccc(-c2ccccc2)cc1,338.4,4.32,1,2,0.77,1
full,COC(=O)c1ccc(Br)cc1C(=O)NC(Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)CN(CCC#N)CC(C)C,647.6,5.18,2,6,0.22,0
full,O=C(CNC(Cc1ccccc1)C(=O)N[C@@H](C1CCCCC1)C(F)(F)F)NCCCc1ccc(F)cc1,521.6,4.7,3,3,0.28,0
full,COc1cccc2c1OC(C(=O)NC(Cc1ccccc1)C(N)=O)[C@@H](NC(=O)OCc1ccccc1)C[C@H]2O,533.6,2.39,4,7,0.33,0
full,CC(=O)NC(Cc1ccccc1)C(=O)N(C#N)C(C)C,273.3,1.45,1,3,0.652,1
full,N#CN(C(=O)/C=C/COCc1cccc2ccccc12)c1ccccc1F,360.4,4.57,0,3,0.28,1
full,CC/C=C/C(NC(=O)OCc1ccccc1)C(C)=O,261.3,2.84,1,3,0.801,1
full,N#CC(COCc1ccccc1)(NC(=O)OCc1ccc(C(F)(F)F)cc1)C(F)(F)F,446.3,4.97,1,4,0.61,1
full,CC(C)C(C=O)/C(F)=C/C[C@@H](O)COC(=O)NCC(=O)N1CCCC1C(=O)NC1(C#N)CC1,466.5,0.95,3,7,0.384,1
full,CCC(C)=NN=CCC(=O)c1ccccc1,216.3,3.12,0,3,0.423,1
full,CC(C)CCC(NC(=O)Cc1ccccc1)C(=O)N(C#N)OCc1ccccc1,393.5,3.59,1,4,0.38,1
full,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)NCCc1ccccc1,368.5,3.48,2,3,0.786,1
full,CCC[C@@H](C=O)C(N[C@@H](CC)Cc1ccc(-c2ccccc2)cc1C#N)C(=O)Nc1ccccc1,467.6,5.76,2,4,0.332,0
full,NCC1(NC(=O)Nc2nc(-c3csc(-c4nc5ccccn5n4)c3)cs2)CC1,411.5,3.19,3,7,0.467,1
full,N#CC(Cc1ccccc1)NC(=O)C1CCC(=O)N[C@H]1OC(=O)NC(CC1CCCCC1)C(=O)NCc1ccc(Cl)cc1,608.1,4.12,4,6,0.302,0
full,N#CC1(C(=O)NN=C(N)C(CC2CCCCC2)NC(=O)OCCc2cccc(F)c2)CC1,443.5,3.13,3,5,0.307,1
full,CC(=O)N[C@H](Cc1ccccc1)NC(=O)C(C#N)CCc1ccccc1,349.4,2.58,2,3,0.719,1
full,CC(=O)NCCOC(=O)C(C)NC(CO)C(=O)OC(C)(C)C,318.4,-0.65,3,7,0.402,1
full,COC(=O)NC(Cc1ccccc1)C(=O)N1CCC1C(=O)C(CC(C)C)NC(=O)Oc1ccccc1,495.6,3.33,2,6,0.523,1
full,N#C[C@H](Cc1ccc(-c2c[nH]cn2)cc1)NC(=O)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(F)F,600.6,3.92,4,6,0.171,0
full,CCCCCC1NC(NC(=O)C(Cc2c(C)[nH]c3ccccc23)C(=O)OCc2ccccc2)CCC1=O,503.6,4.72,3,5,0.2,0
full,CC(C)C(=O)NC(Cc1ccccc1)C(=O)N[C@H](C#N)CS(=O)(=O)CCCc1ccccc1,469.6,2.43,2,5,0.495,1
full,C=CCCOC(C(=O)NC(Cc1ccccc1)C(=O)Cc1ccccc1)C1(C#N)CC1,416.5,3.79,1,4,0.422,1
full,CCC(C)C(NC(=O)/C=C(\F)c1ccccc1)C(=O)C(=O)NC1CCCCN1C#N,414.5,2.51,2,5,0.387,1
full,COc1ccc(Cl)cc1OC[C@@H]1CCCN1C(=O)C(CCc1ccccc1)NC(=O)c1cc(-c2ccccc2)on1,574.1,5.8,1,6,0.243,0
full,COC(=O)CCCNC(=O)C(Cc1ccccc1)NC(=O)C(C[C@@H](Cc1ccccc1)OC)NC(=O)c1ccccc1,573.7,3.23,3,6,0.179,0
full,O=C(CS(=O)(=O)c1ccccc1)NC(Cc1ccccc1)C(=O)NCCOc1ccc2c(c1)OCO2,510.6,2.11,2,7,0.379,0
full,CC1(C)Oc2c(OC(F)(F)F)c(Cl)cc(OC(F)(F)F)c2[C@H](CC#N)c2ccccc21,465.8,6.81,0,4,0.467,0
full,CC(C)(C)OCCN1C(=O)c2ccc3c(c21)OC(C#N)C=C3,298.3,2.76,0,4,0.861,1
full,O=C(COC1C(=O)NC(C(=O)OCc2ccccc2)CCCC(=O)C2O[C@H]21)Oc1ccccc1,467.5,1.73,1,8,0.371,1
full,N#CCCSCC(NC(=O)c1ccc2ccccc2c1)C(=O)NC(CCSCC(F)(F)F)C(=O)NCc1ccccc1,616.7,5.07,3,6,0.206,0
full,CN1CC[C@@H](Oc2ccc(-c3nn(CC(F)(F)F)c4cc(C#N)ccc34)cc2F)C1,418.4,4.36,0,4,0.591,1
full,CC(=O)NCC[C@H](NC(=O)c1ccc(-c2ccccc2)cc1)C1=CC=CC=CC1=C(F)C(=O)NC1(C#N)CC1,524.6,4.43,3,4,0.422,0
full,COc1ccccc1/C(=C/[C@H]1C[C@@]1(C#N)NC(=O)c1c(C(F)(F)F)nn(C)c1C)c1ccccc1,480.5,4.9,1,4,0.544,1
full,N#Cc1nc(N)nc(-c2ccc(CNC(=O)c3ccccc3)cc2)n1,330.4,1.92,2,6,0.754,1
full,CC[C@H](C)C(NC(C(=O)CCC(=O)NCCc1ccccc1)C(=O)OCC1CCC1)C(=O)OC,474.6,2.58,2,7,0.297,1
full,CC(Cc1ccccc1)NC(=O)C(=O)NC1CCCCC1,288.4,2.18,2,2,0.834,1
full,Cc1ncsc1-c1ccc2c(CC3CC3)nc3c4ccccc4[nH]c3c2c1,369.5,6.25,1,3,0.408,0
full,N#CC(=O)N1CCOCC1,140.1,-0.63,0,3,0.421,1
full,CC(=O)NC(C)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC1CCC1)C(C)C,430.5,1.05,4,4,0.444,1
full,COC(=O)COC(=O)NC(Cc1ccccc1)C(=O)OCc1ccccc1,371.4,2.24,1,6,0.565,1
full,N#Cc1nc(OCC2CCCCC2)c(F)c(C(=CC(=O)O)c2ccccc2)n1,381.4,3.96,1,5,0.761,1
full,CC(=O)OC[C@H](CC(C)C)NC(=O)/C=C/[C@@H](NC(=O)c1ccc(C)o1)C(=O)c1ccccc1,454.5,3.22,2,6,0.306,1
full,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)COCc1ccc(-c2ccccc2)cc1)C(N)=O,467.6,3.42,3,4,0.419,1
full,CC(C)C(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC#N,377.5,2.87,2,3,0.659,1
full,COC(=O)Cc1ccccc1CNc1nc(C#N)nc(N(Cc2ccccc2)c2cccc(Cl)c2)n1,499.0,5.06,1,8,0.319,0
full,CC(C)[C@H](NC(=O)c1cc(O)n2c1C1(CC1)CC2C(=O)NCC#N)c1cc(C#N)cs1,437.5,2.87,3,6,0.598,1
full,N=C(N)NCCCC(NC(=O)OCc1ccc(Cl)cc1)C(=O)NCc1ccccc1NS(=O)(=O)c1cccc(Cl)c1,621.5,3.97,6,6,0.095,0
full,N#C[C@H](Cc1ccccc1)NC(=O)C(Cc1ccc(OC(F)(F)F)cc1Cl)S(=O)(=O)c1ccccc1,537.0,4.87,1,5,0.421,0
full,N#CC1(NC(=O)C2CN(c3nc4cc(F)ccc4o3)C[C@@H]2F)CC1,332.3,1.91,1,5,0.928,1
full,Cc1csc(/C=C/c2ccccc2C(=O)NNC(=O)C(CCc2ccccc2)NC(=O)OCc2ccccc2)n1,554.7,5.31,3,6,0.23,0
full,CSCCC(NC(=O)c1ccccc1C(=O)O)C(=O)NC(CC(C)C)C(=O)OCc1ccccc1,500.6,3.51,3,6,0.36,0
full,C=CCSC[C@@H]1CCN(C(=O)C(CC(=O)O)NC(=O)C2CC2)C(C(=O)NC2(C)CC2)C1,451.6,1.55,3,5,0.324,1
full,CC[C@H](C)[C@@H](O)CCc1ccc(-c2nnc(C)o2)cc1CNC(=O)C(Cc1ccccc1)NC(=O)C(O)c1ccccc1,584.7,4.46,4,7,0.172,0
full,CC(C)C[C@@H](Cc1ccccc1)NC(=O)C(=O)OCc1ccccc1,339.4,3.5,1,3,0.62,1
